# Resampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Sensitivity Curve
7.293476676981220561e-16,3.393382345523925266e-14,1.992277514451413826e-12,8.725942236515406868e-15
6.241363349582228043e-16,3.200585130101498608e-14,1.879403261528399342e-12,8.230859557130442607e-15
6.536186990649730261e-16,3.029210358991265521e-14,1.778478105802745531e-12,7.789372163981196595e-15
6.854084079071414862e-16,2.880315970683833550e-14,1.690793954539101677e-12,7.405646225766743450e-15
7.924390706423620240e-16,2.754243288854538548e-14,1.616456386514926942e-12,7.078700548355357076e-15
6.231592914924819212e-16,2.645841855198294149e-14,1.553369183108777028e-12,6.802083435977396744e-15
7.110305834152570633e-16,2.555246179904177771e-14,1.499587671874885540e-12,6.568359382187724496e-15
8.841789340878055207e-16,2.479728628795380225e-14,1.454585497254848254e-12,6.371155343002874001e-15
6.444526509620108113e-16,2.413984722172382289e-14,1.416919221969920631e-12,6.205045427616487694e-15
4.584680480314873332e-16,2.358621525549357229e-14,1.385050450154461336e-12,6.065350155550861384e-15
5.042926920325163580e-16,2.313512906487893379e-14,1.358495967065563825e-12,5.947976279762268036e-15
5.059398205482595382e-16,2.275411617440001660e-14,1.336222978330187783e-12,5.849288600268949002e-15
6.661016552834518383e-16,2.243839285732088245e-14,1.316963168579833121e-12,5.766007369410795521e-15
7.929540346985414003e-16,2.216686891702106619e-14,1.300315031240327092e-12,5.695126539338917742e-15
9.116392685367753270e-16,2.193738726197302256e-14,1.286480819085677057e-12,5.633849356713303282e-15
5.009841417193367906e-16,2.170307456973002835e-14,1.274259061557695808e-12,5.579538762744565583e-15
7.110038889310329344e-16,2.152560399995920980e-14,1.263270077708712141e-12,5.529680774785116077e-15
7.214431986243813560e-16,2.133471356431925571e-14,1.251668071659008980e-12,5.481859554529287861e-15
5.821656747550795357e-16,2.114477053408357293e-14,1.241329681562881410e-12,5.433743238709748595e-15
7.394021314752072212e-16,2.095258320605851208e-14,1.229167395489723611e-12,5.383079841799820005e-15
9.297396261103819393e-16,2.074730834111572245e-14,1.216355108766429716e-12,5.327590078871630956e-15
3.364874964038129652e-16,2.046699197312337538e-14,1.202401455462931628e-12,5.262877176340691743e-15
4.923105144688174651e-16,2.020016616624521313e-14,1.186016045667449056e-12,5.192374269039318506e-15
6.525875639931612117e-16,1.990848946086209036e-14,1.168108345818222759e-12,5.115552263011801966e-15
7.768352158777155264e-16,1.960260339549983691e-14,1.149891424726254386e-12,5.034005753157843242e-15
4.877319913568504953e-16,1.925641248549884369e-14,1.130573296244912822e-12,4.949262448006734501e-15
5.141621891842358386e-16,1.891765994006873013e-14,1.110326622139681786e-12,4.862771624534322425e-15
4.640706260538987942e-16,1.858054077951382999e-14,1.090884346797931523e-12,4.775897329550517951e-15
5.399225716326291287e-16,1.824718571385863559e-14,1.070776561597182083e-12,4.689915456509655265e-15
5.264376885323752195e-16,1.792270685273223974e-14,1.051869938647561643e-12,4.606014329593371475e-15
4.493724981781557029e-16,1.760492038264385120e-14,1.033483253205994749e-12,4.525298416989751632e-15
4.772656293671433998e-16,1.730565902034886884e-14,1.015567907874903100e-12,4.448794809009431482e-15
5.929141419041336668e-16,1.703873904537503219e-14,9.996581223495819818e-13,4.377462130566688832e-15
7.052397860028068229e-16,1.679155579433960846e-14,9.846950039890526306e-13,4.312201608420014796e-15
